2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Name,ISO3
20084.5428336262,19756.4526473437,20342.3834778016,20034.5751488136,19698.2988200131,19607.6331429126,18908.2807875882,18963.1189905204,20224.6064878925,20405.8158065194,20163.2401501925,18765.2767014156,19712.7323287489,19182.286785683,18949.169567302,17933.4397904515,17743.9131061779,17201.8907825515,16609.5867776334,15578.1964076231,15790.426851818,15374.9934277762,15293.1833547565,14923.4050205169,15345.5978582934,Australia,AUS
3427.43737299867,3361.48349314328,3359.69048998423,3402.28805899567,3330.1508428,3523.21806483884,3751.8926015206,3577.37016383082,3567.39359790372,3581.49386376403,3571.7214627101,4163.74846991014,4174.31268013581,4177.76162490381,4301.70460988914,4335.79819560139,4347.07409116246,4286.75869314582,4272.75225034369,4388.99718320682,4279.53097598147,4080.8480946679,4161.61638288105,4460.64666458185,4293.06258958584,Austria,AUT
12678.394857726,12799.388453272,12824.03580262,13041.54565992,12439.691519354,12507.96678271,12276.831959534,11709.4255861,11769.732019834,11203.946164142,10899.037111026,10578.776337292,10134.689907728,11338.843481618,11350.074288376,11251.338762214,11702.191035332,11732.3670118,11451.00532477,10752.765283444,11472.270574672,12816.656566594,13232.439982768,14693.752334818,15074.697805904,Belarus,BLR
6278.98373750572,6280.71600286632,6470.88988425807,6564.49132627943,7759.83441618082,7229.43055480784,7102.80277274666,7094.15143768088,7591.03215178499,8581.48814510937,8850.4092731786,8712.78391381373,9613.02298617883,9963.92130157159,10352.8296876537,11071.1025909106,11057.2645597503,11183.0529189441,11415.398560162,10997.2037194408,10524.5048354457,10129.3928108206,9858.6978618329,10106.4073495644,10232.4000382159,Belgium,BEL
3807.66613870328,4237.59451933528,3833.31577398217,3768.2482137874,4118.30970080681,3646.36487014831,4055.12998711494,3813.99986008563,3769.7414422988,4240.78225222001,4395.67656340284,3852.30323609396,4017.6318807371,4078.70742274843,4005.22085681668,3944.16097234411,3784.72928445926,4589.80143981182,4846.99043437078,4977.77959817515,5106.66182493753,5222.4745987816,5774.31109544814,6839.49771151956,8818.37141292847,Bulgaria,BGR
39407.1108706383,40647.0631927479,38773.5415647623,37652.726724076,37891.753748992,37749.5907018662,41681.6457531807,39691.9656662167,38759.9393800432,40863.4283663269,42328.241861865,40097.5345772836,38156.7745435737,38523.214474169,39936.356635356,40309.5164172252,42548.8743217178,46527.870911098,47724.3995197404,45650.3327877802,45062.1701912386,42000.4456435488,41323.5177157639,41010.0740664717,42239.7307721834,Canada,CAN
1621.47305302201,1697.40303822074,2216.92191738725,2356.55447754079,2300.07156763452,2224.65623070275,2454.85122489478,2420.17013254078,2334.44929495875,2405.29943226947,2448.45046521196,2173.68198135036,2276.72903481168,2370.13253176201,2387.67171742591,2277.14868903243,2069.62684779324,2433.92669374514,2234.91559231208,2248.32964293429,2325.58979219483,2306.49417076897,2693.14631988244,2652.77362136561,2793.14962938266,Croatia,HRV
330.5656784,327.5974643,355.2934651,362.4272573,376.8326965,356.5110335,358.3156917,369.0948583,376.1754873,359.0261833,385.4701073,394.165494,396.171332,394.555278,363.015256,366.12429,379.546806,353.25516,364.649488,398.598244,351.946642,363.1329064,342.5869984,309.9044444,309.9047424,Cyprus,CYP
6660.69397839425,6335.43371232632,6441.22389738116,6557.25229605377,6398.1561228289,6616.85086175011,6930.08190648947,7067.65619801291,7069.14006491977,7107.64171808379,7491.18980351111,7044.60293100224,7375.06206802929,7650.73702464,7568.7508246245,7561.34569543948,7694.96090306874,7838.49264850086,7869.55193757898,8027.71793324945,7840.70196490355,8064.5856625792,8999.6686196642,9898.53869276329,11446.6469272203,Czech Republic,CZE
5084.61187572385,5114.30580754653,4974.30190021738,5133.77010296871,5137.1642230126,5147.99594399131,5449.49481677779,5482.2110056033,5389.35753047604,5411.64556687349,6050.82549268459,6490.23171109984,6726.27499735231,6645.01710511251,6837.48781306869,6992.43924979096,6789.72994670559,6794.51884463166,6666.74780296077,7085.34925940786,7207.60031402353,7117.56479342416,7610.88310734658,7680.69773539393,7813.98220403621,Denmark,DNK
819.529049495335,769.162697021836,780.572716248272,716.297908811208,717.870158861874,701.683749536995,744.691616284892,666.539863671522,619.029068386866,621.450093321964,632.529220727631,609.588748916545,579.81772822248,601.710064305643,601.320771079247,576.253562953293,686.06511578056,675.819384057021,662.58133430339,702.713971252113,773.069211913729,819.81142680363,1085.92140009621,1306.620570437,1386.94803318539,Estonia,EST
239890.166462187,237361.491847545,236629.022077268,239713.781786829,244135.499956629,254094.405670615,269056.823186962,280033.581412401,279466.441154281,289132.4745293,297172.717319457,292877.869255273,295460.485722041,306270.054080363,309752.768575118,311617.795637016,331944.081021336,353901.179361895,356924.647676983,351343.564078907,348484.822972035,345876.471393106,355959.76786929,370242.088935833,388663.46058574,European Union,
4626.44529423974,4589.41603649606,4527.42472097089,4547.93466904221,4676.58281741075,5070.90249707673,5917.6058746115,5793.79319374182,5725.75086732767,5921.3804785276,5844.56970927116,5787.69900624858,5676.41835284394,5569.39400428778,5621.95734522058,5573.50049147288,5678.76837027459,5831.75844753035,5886.29683034134,5984.19575566851,5786.16374762057,5614.44591958677,5461.41289768856,5881.93675030608,6328.71648460905,Finland,FIN
