2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Name,ISO3
98076.1094012298,99857.2046257045,100796.838744057,101085.537856825,99447.7301587771,101886.833298172,103119.546054012,105174.667801721,104842.389866471,105887.562988773,103839.210857312,102574.207809969,108309.143527509,110301.733954324,111520.30955229,107889.224971323,111427.929805769,111898.854748974,109185.337719811,109900.73511074,110997.410185432,113837.511922865,116837.506725638,117744.641813952,118768.837813046,Australia,AUS
6623.26575609826,6757.49040393774,6855.14146713985,6976.4185527369,7182.81642989029,7294.26454612192,7399.36170474204,7543.05254605889,7667.62887171686,7809.61517623385,8048.71230791888,8061.20581192959,8134.08033600044,8284.30053880387,8466.36607055548,8645.17625546572,8831.33145263719,9011.5170626983,9382.92563351546,9674.04958955657,9775.85779162528,10073.8331987497,10164.7486767199,10462.0961886329,10598.5663608928,Austria,AUT
18599.1790231,18724.358966775,17461.76738625,17499.477159075,17109.267876475,17118.031159325,16240.159787875,15646.7932469,15450.078575575,14727.0600536,14331.37019635,13734.63191955,12705.355449575,12799.02585625,12922.696280275,13212.4624856,13540.2447086,13578.265278075,13672.8220222,13611.075969575,14331.807082625,15583.1133978,16295.4361922,17258.1344516,17944.369142475,Belarus,BLR
8047.55231617697,8098.24899175734,8235.73548496177,8369.07132160191,8624.50488186377,8668.57366813667,8736.79424403213,8947.75520960759,8982.9819255679,9074.7690780932,9318.58072048247,9372.46837983159,9956.50085913143,10386.2529605796,10827.0045628699,11265.277849541,11524.999684482,11689.8989430417,11802.0818337339,11947.6381787851,11867.0166000478,11838.3033737107,11886.3497152747,11999.377565637,12040.1810478487,Belgium,BEL
7420.5096990517,7526.88575101646,7643.91941086577,8015.19767643603,7782.63795680577,7794.83836774708,8164.02518762776,8389.98329896053,8446.72532215926,8720.07593547376,9476.23778253349,10063.7203689356,9374.21254846974,9491.66889604972,10189.3400582433,10347.0350775991,10886.0585680953,11500.6452771229,11936.1665164785,12051.2105618057,12003.0873409571,13764.491318609,14869.2959926006,15313.2688547055,16430.8375650653,Bulgaria,BGR
108436.716890674,107063.129352267,105633.624841341,103884.67007464,103730.441039052,106149.435212774,110540.258265441,113213.994030922,115516.052739182,116434.331258317,117419.386086716,116809.277477492,117504.637070844,119920.258788481,120724.87183077,120592.533776685,120647.45834463,118988.193047761,116885.460266137,113111.078283263,108917.321071169,105204.361166736,101927.841562881,97516.5116855337,95378.2519424985,Canada,CAN
3080.40853019068,3129.72543393844,3167.14806901099,3230.31536846447,3243.5128716914,3214.901482772,3153.40276223641,3114.80205676473,3100.59041226758,3029.46175248614,3061.84419542201,2936.87051081454,2838.3026167308,2844.14784113738,2785.33822318065,2847.59085469199,2866.64655382612,2908.31403017727,2968.51300596132,2986.63717495509,3034.34843612463,3260.04156278717,3227.33608899515,3625.91574246337,3770.71776073763,Croatia,HRV
923.95729815,918.03627175,937.200815325,962.211507475,943.41757105,921.274583825,919.096319925,915.518720925,894.0424515,894.24997675,914.7121712975,917.7058670025,921.2514937525,887.6023426025,847.453418015,831.09081945,830.2704043625,826.651706795,819.0833783575,797.53350701,773.1755828925,761.6780691625,733.57027363,704.35598565,693.566622225,Cyprus,CYP
13491.7350801132,13435.2557834496,14086.0926559991,14017.0357351339,13992.577303959,13800.6277577976,14227.763705649,13800.5707318147,14265.958595564,14032.8320191286,13662.7252004331,14100.163381463,14091.9237338679,14582.6966713551,14896.9598528393,15771.0192915883,16431.8822443428,17105.0797387672,17564.9120993273,17744.9425854554,18086.8290768361,19226.5899303059,20139.1599524718,21607.1754215005,23315.0467690008,Czech Republic,CZE
7362.96580142096,7380.66591211233,7484.69780241921,7642.00247598388,7786.91504181373,7736.95119835375,7888.33361672816,8033.11864277544,8038.39858566613,8148.66665814821,8392.88343058255,8547.44503107124,8534.70873161076,8611.9154571632,8355.10829286277,8465.65156344192,8572.25402920572,8506.80196089025,8608.32097420401,8497.61328401879,8437.69390271024,8570.9152817898,8364.64610116621,8279.66224670937,8082.7076134516,Denmark,DNK
1102.37331637054,1132.68979885955,1143.20507646736,1134.03455551706,1182.87076894973,1168.36839941857,1213.6813667467,1223.38046026192,1192.14620738161,1209.49974865901,1247.51885004831,1233.42072726444,1229.78306528844,1278.59546226988,1237.38661811289,1197.48060973097,1280.35522131878,1318.57002819266,1265.14393763371,1246.81186955066,1287.76549159454,1349.78969025339,1585.1281387907,1825.52131402923,1912.19338766312,Estonia,EST
452695.943070072,458525.673635933,469808.637546842,474490.816761964,484704.844801329,495012.880473162,510421.889519788,520923.65690099,531707.940879268,543442.470359115,555673.072414182,575051.654505593,586079.497621722,600252.512233256,609440.975898133,622775.452019011,634900.160179924,651528.738611337,665079.336732812,668698.051516691,669301.26346178,686376.82193796,695017.254202625,715378.704916053,734491.057033518,European Union,
5016.97475927124,5122.63476634708,5264.87608155703,5306.52535118825,5487.22228155129,5404.95544159765,5460.81837555993,5591.48730557558,5731.23824153894,5659.29231113621,5907.35786486111,6092.65311451928,6301.45349814581,6519.02653867057,6661.09848014005,6911.88870684184,7062.38153640282,7308.33510699067,7392.08120336162,7469.55919015096,7674.10373712289,7707.9832414101,7669.45024354611,7714.30236241026,7744.71648814565,Finland,FIN
