2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Name,ISO3
21059.2401362604,21676.70632569,19423.3253615838,20485.0360389207,19911.6818808835,16181.965393366,19374.623993778,20816.9352876355,17686.4656016219,18297.6746871499,19055.487479688,18782.3647025788,16930.0907302884,17473.0230485506,17061.8525770349,17358.5004723794,18705.8234879671,20262.1584010382,20631.7526567215,19934.7905834531,21713.1632575004,21001.9712440401,26876.4806469349,36794.5625866692,39965.168718297,Estonia,EST
4278052.25141196,4463077.61911388,4553876.22623171,4619894.87374975,4775529.25928464,4668298.76528723,5031461.29079259,5141105.72703058,5200036.3203393,5211185.96530681,5251101.60149233,5255793.44434725,5169047.49611873,5212778.66142587,5161668.58707868,5153484.8505628,5265845.71031395,5313562.00592722,5413299.63343299,5306108.24726528,5255113.71608995,5279950.93806812,5378840.52651769,5558236.55630064,5656504.15996443,European Union,
59028.9870736425,63196.6016281563,62320.6350025736,67947.0752353953,75835.0204247157,67575.2972016161,71219.4402188768,79096.3253832404,80616.21920221,69426.5733995718,81300.6190152811,85082.5791584517,77600.2046934694,75171.3885800538,69855.0106453243,71755.398003318,72378.9825031932,76038.3268859278,77446.1272704028,71644.301372275,75186.2205452823,69675.9495168867,67421.2277150837,68823.8503769894,71076.9955343198,Finland,FIN
464417.795172965,491159.265947329,492924.885159499,491554.288494215,518939.633305681,510304.292070832,530720.36062146,537505.380929578,546295.993852051,557991.587007233,554620.230495207,557264.297081536,550666.932497969,556514.386780197,556461.296488078,560359.383324335,573371.786507785,557135.203172134,563711.59170328,548820.131999806,540655.787889382,541583.884470147,564121.504674393,575242.637317451,549064.800795286,France,FRA
901763.938802623,945150.947996296,926338.361640261,921829.743532604,941038.691230732,906423.028725622,973942.17132529,971998.326214991,999043.900402691,991848.687081523,1017294.02960564,1033727.65586751,1036942.43863737,1058070.10262725,1043294.43431627,1045419.70899266,1078643.50204424,1104243.75369149,1138767.65811376,1120943.90480089,1124257.53296309,1143674.9023058,1152900.32820838,1203219.25595579,1249828.64870129,Germany,DEU
101298.184084813,104564.031249294,112086.436424032,115576.783290434,118626.517522768,124697.195300591,131199.951864063,134852.84227531,132065.256674574,135924.226108271,132286.023570031,131655.183439536,128160.998223235,128248.682487832,127570.605011918,124462.644048816,124288.89384458,118682.453532314,113843.045790288,110704.111282453,108402.558432157,105565.321078537,106017.53859281,104767.844628879,104716.492083172,Greece,GRC
57225.1552772286,57553.8333024652,60106.8999728075,63808.0141618832,65523.6895395564,65082.9235143586,71340.3700337963,73091.6196133009,74880.3052319845,75933.2770395626,76126.4666292177,77192.4005780412,74153.5781963387,75679.3479805696,73556.6927025833,76610.4957421574,76067.0556888398,76553.8079993098,78015.9644529897,75705.7802126216,77026.1174095609,78134.8873778491,77312.1715997952,87301.0680049181,94133.9719251175,Hungary,HUN
4596.84732943327,4534.66283487721,4550.40347978486,4520.22086357683,4730.35142972401,4855.77230906749,5140.33616340343,4714.81830853324,4454.03498592419,3897.68783769588,3940.12141564936,3918.59269639407,3936.90100504714,3911.35024253636,3962.77280646566,3980.84934134933,3754.77436474695,3610.85799066624,3472.18388343879,3389.0009683746,3328.37101989366,3392.56305838494,3341.98723972385,3463.43779029116,3633.55800889373,Iceland,ISL
58189.1548899195,58481.6073908868,58622.7956444533,58130.2970379833,62235.1520447576,62786.9795688554,68373.601122444,68995.4570728592,69714.6192054216,70321.2078409634,68855.7501054471,69540.6510456126,69292.6163221512,71314.7882039049,69251.3548462284,67064.2167913129,65921.2652674719,63432.5297775281,61919.5047663525,59791.072093728,58368.8845723285,57083.626315164,56809.1096748183,56825.6863641971,56087.8381630239,Ireland,IRL
418587.214852809,438887.369554579,468717.915842693,494789.584565051,508424.0983053,498894.655103401,549452.72907469,561137.586097384,569054.804550053,578904.440304856,580725.580159886,578126.368278315,561887.952427875,561600.32756657,554479.28974574,549495.230489239,543800.430206334,532739.930388069,526825.535705134,533449.768572357,505566.538694119,513611.618341214,519982.778404742,523489.80881579,521920.60052839,Italy,ITA
1363862.30512511,1407883.22553504,1390339.97259376,1354616.00721129,1304902.64207128,1251003.58354902,1327168.52855642,1412795.07423849,1377861.93887303,1397101.81894679,1389593.18778594,1392702.14578963,1390331.14112579,1358715.50795218,1386713.84350075,1367886.0892359,1345840.23839735,1389906.99374062,1393109.43817066,1379924.54422522,1358267.67798852,1285876.65515278,1294404.60265308,1280937.69911164,1270742.94816386,Japan,JPN
11373.0906376115,11435.7719892041,11513.8999779307,11624.147316179,12357.4686949319,11217.4663550048,11936.7676732202,12359.0369961038,11894.9181081718,11374.2975846263,11155.2835976674,11164.5973708301,11005.6585485282,11034.1487136715,10434.2892049033,11009.6604154188,11802.1421345262,12312.7096470877,12876.015337941,12824.9863963606,14244.249898045,16149.8550136135,19583.5108268412,24373.1198922177,26353.9729671409,Latvia,LVA
204.416249168196,234.906930245995,228.193175964646,218.605194588658,231.232479950203,245.758998486856,260.346696798514,240.179293519619,269.235959275465,265.828510797799,264.907037188606,264.279161446894,254.084383108083,247.655005960761,248.174546686285,257.40036828594,260.338131244919,249.341973160903,236.829079527098,234.321873164864,230.57933801286,244.009893169398,236.882855912506,236.649430776773,229.177250677737,Liechtenstein,LIE
19777.7498061516,19850.8289546557,21112.6763800759,21254.4575123996,20755.1347198455,19935.9190758773,24394.5306728545,25352.3510528305,23378.4488497179,23036.138291882,21984.4112122192,21203.0139068568,20985.9500974461,20565.3985771841,19605.2843248219,21233.0731787122,23901.3798849324,22971.1068622477,23468.2376077676,22400.5086396674,23234.5799127642,24548.3043848785,30446.8235582429,50233.7705660942,48190.2820210941,Lithuania,LTU
10775.6308538811,11213.2041041135,11769.9167426845,12088.0289034404,12219.9569926199,11642.9319685654,12162.5852116032,12302.9810916982,12887.2691636137,13030.0762344294,12791.6283352327,11347.5906931308,10987.5504922517,10226.9773385961,9722.34455971328,8914.06739800964,8545.12816289836,9455.511768516,10141.6022970283,10071.3111590627,12458.9433096162,13292.7529188175,13176.7176367707,13396.876182352,12853.4512617504,Luxembourg,LUX
2982.64478757554,2953.95831904028,3324.49701604246,3211.70609226187,3098.80570626229,3073.96151644768,3182.27959841266,3176.82792351988,3090.68316868016,2999.1644270709,2845.49961194052,2893.02628066671,2687.48314208142,2769.1247946209,2625.80576878086,2610.24691168289,2524.14374984072,2530.05916702989,2518.24209485385,2500.68600060887,2483.68564592841,2422.70680375731,2333.93788053464,2189.15593364156,2000.25178238157,Malta,MLT
,91.2561562041074,90.7498441303101,86.7282962617629,90.1461081643513,91.1792263693133,95.8557340654515,97.855057066224,94.2785958829561,101.10929267777,102.042738918889,106.126341833846,108.351072665333,107.9724435341,109.692366710798,108.516233169215,106.485663454616,106.719315768663,108.203360341535,103.766049795644,106.067732637872,105.050402905748,105.935293062565,100.369204056598,99.4136059156658,Monaco,MCO
186845.429071259,194825.149706862,195068.684673269,199800.722693038,213523.120519917,201690.824396804,207431.200367615,208086.496163859,209150.599297985,214192.526400494,219075.219640892,217929.507108887,217864.639267714,219830.075273467,219915.594400692,221901.302744273,235258.245451164,235154.539726928,242613.342376331,231711.592135012,235031.442733026,231338.866963167,230078.540815556,229354.549116115,221516.1727308,Netherlands,NLD
81104.4290799241,80298.3251469851,80890.3639254294,78941.5208964196,78942.2908980154,78624.7002877506,81020.646149607,81157.8794314686,83696.7494402892,83666.2879285929,81648.8272771088,82021.5878477474,79616.9981055823,79058.6235689067,76384.6869460101,74264.3360727654,72205.1448935392,74637.9895126178,71834.4611971898,69641.424602133,68816.5832879109,67631.7325014562,67999.4999995816,66822.617722031,65828.3804799771,New Zealand,NZL
53190.6071843461,53585.6323909077,53872.3085295614,54308.6438462418,55299.0969643191,52699.8529291815,55440.9768200456,56966.3456187061,55071.686061874,55291.6168204172,56214.0084775802,55665.8918961297,55060.5037050923,56145.0027583016,54883.3750109775,55476.4362183585,54499.0166279507,54333.9463603583,54411.0952561063,51411.1492564084,51704.4180201368,49802.7844557724,47778.6271571411,49586.8891439841,51921.7714051269,Norway,NOR
