2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Name,ISO3
151.94899803,193.404158999999,182.082665,176.6778,366.27191,1110.08825,802.1609268,565.9062936,750.7034604,911.0179272,880.363884,1021.261359,1872.461234,1797.339134,2077.744334,3947.177534,4108.460476,4208.604376,4324.621056,5773.246762,5487.38511,5215.63716,5222.14963,5236.72332,5705.723894,European Union,
151.94899803,193.404159,182.082665,176.6778,366.27191,1110.08825,802.1609268,565.9062936,750.7034604,911.0179272,880.363884,1021.261359,1872.461234,1797.339134,2077.744334,3947.177534,4108.460476,4208.604376,4324.621056,5773.246762,5487.38511,5215.63716,5222.14963,5236.72332,5705.723894,Germany,DEU
9449.8916832,8993.8072448,8584.4242576,8178.4697632,7762.1372064,7363.0093124,6961.6776464,6595.9718304,6238.7646588,5878.9461352,5552.117082,5175.5521224,4684.2544192,4286.6169156,4367.2296252,4597.0975428,4470.7293856,3904.524176,3236.9827728,1764.7313356,593.2225696,586.9397524,574.414624,566.900968,293.2056632,United States of America,USA
